Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:33:45)
Read blend: "D:\Users\Lenovo\Desktop\大观园\blender\daguanyuan_master.blend"
Fra:1 Mem:1034.77M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_paper
Fra:1 Mem:1034.77M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_bookcloth.001
Fra:1 Mem:1034.97M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_ivory.001
Fra:1 Mem:1040.26M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_ink.001
Fra:1 Mem:1041.09M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_bookcover.001
Fra:1 Mem:1041.10M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_ceramic.001
Fra:1 Mem:1041.17M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_lantern
Fra:1 Mem:1041.19M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_gold
Fra:1 Mem:1041.20M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | xiaoxiangguan_limestone.001
Fra:1 Mem:1043.04M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_plaster.001
Fra:1 Mem:1044.98M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_roof.001
Fra:1 Mem:1048.14M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_stone.001
Fra:1 Mem:1048.14M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_tile.001
Fra:1 Mem:1048.18M (Peak 2418.40M) | Time:00:05.53 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_cutstone
Fra:1 Mem:1048.72M (Peak 2418.40M) | Time:00:05.54 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | yihongyuan_darkwood.001
